target_id,timestamp,message_seq,track_sequence_no,lat,lon,altitude,speed,heading
3849ff,1786673154,3,1,47.58641185436531,7.531773455565798,,12.3,300.94
3849ff,1786673159,26,2,47.58709850003683,7.5311726406032165,,18.5,334.69
3849ff,1786673173,50,3,47.589587590596096,7.529541857133353,,22.1,334.69
3889ff,1786673155,22,1,45.71740525183802,5.091692231104901,,5.7,171.56
3889ff,1786673159,46,2,45.717190675065666,5.091778061813841,,7.2,168.75
3889ff,1786673173,70,3,45.716418198685204,5.092636368903243,,8.200000000000001,81.56
3c5434,1786673154,8,1,45.75439828739124,8.770739739117545,3429.0,180.10000000000002,147.72
3c5434,1786673159,31,2,45.747617661384965,8.776662058034418,3399.0,176.5,148.95000000000002
3c5434,1786673173,55,3,45.72869199006365,8.79176826280792,3315.0,167.3,152.33
3c815e,1786673142,5,1,48.6853882516356,9.200494098781121,,1.3,70.31
3c815e,1786673142,28,2,48.6853882516356,9.200494098781121,,1.3,70.31
3c815e,1786673173,52,3,48.68620364337053,9.202382374377805,,5.7,73.12
407fac,1786673154,4,1,48.91588662049452,9.040763149443421,11582.0,228.4,300.90000000000003
407fac,1786673158,27,2,48.92069314019517,9.028575188773914,11582.0,228.4,300.90000000000003
407fac,1786673172,51,3,48.9357135142597,8.990638015422348,11582.0,228.4,300.90000000000003
424cbf,1786673154,15,1,46.89907953717221,11.250388920399871,9883.0,244.3,222.87
424cbf,1786673159,39,2,46.891698096203356,11.240432558162809,9845.0,244.60000000000002,222.78
424cbf,1786673173,63,3,46.868480889435034,11.209018518690698,9731.0,243.5,222.86
440b61,1786673159,37,1,49.46009623052984,5.006633998545169,10874.0,232.5,35.910000000000004
440b61,1786673173,61,2,49.484000082969686,5.033327349025569,10958.0,233.10000000000002,36.11
45b534,1786673153,19,1,48.71808975174184,9.474036568173517,11582.0,222.9,302.37
45b534,1786673158,43,2,48.723497086405075,9.461076131123548,11582.0,222.9,302.37
45b534,1786673173,67,3,48.7388178679509,9.424512249115025,11582.0,222.9,302.37
45ce47,1786673154,7,1,48.558101310277294,6.299501967311386,11887.0,233.10000000000002,181.52
45ce47,1786673160,30,2,48.54720081024189,6.299072813766685,11887.0,233.60000000000002,181.51
45ce47,1786673173,54,3,48.518490438101395,6.298042845259403,11887.0,233.70000000000002,181.64000000000001
48ea3a,1786673155,14,1,47.90681789083908,8.087698957371487,10973.0,229.5,225.45000000000002
48ea3a,1786673159,38,2,47.900208926250684,8.077570933716487,10973.0,229.5,225.45000000000002
48ea3a,1786673174,62,3,47.87930914862375,8.046242724953316,10973.0,229.5,225.45000000000002
4b17fd,1786673098,23,1,47.44431911571482,8.567406789638227,,0.30000000000000004,244.69
4b17fd,1786673098,47,2,47.44431911571482,8.567406789638227,,0.1,244.69
4b17fd,1786673098,71,3,47.44431911571482,8.567406789638227,,0.4,244.69
4b5c1b,1786673153,13,1,47.45680748386562,8.562771931355456,,0.30000000000000004,300.94
